"crrdr_d","nKBAs","ID","endID","LCP_length_km"
"CORR0037",2,"La Encrucijada","H0092",97.5160178332346
"CORR0038",2,"La Encrucijada","H0084",120.747130275575
"CORR0039",2,"La Encrucijada","H0109",57.1676731797785
"CORR0040",2,"La Encrucijada","H0168",79.5398295440367
"CORR0041",1,"La Sepultura","H0072",64.1025979560624
"CORR0042",1,"La Sepultura","H0059",34.0870908581981
"CORR0043",1,"La Sepultura","H0067",43.3714146705898
"CORR0044",1,"La Sepultura","H0067",47.6141583351937
"CORR0045",1,"La Sepultura","H0072",58.8844693246099
"CORR0046",4,"Los Petenes","H0008",646.276631145699
"CORR0047",4,"Los Petenes","H0010",650.700849606325
"CORR0048",4,"Los Petenes","H0013",644.683884491688
"CORR0049",4,"Los Petenes","H0011",655.350305242428
"CORR0050",5,"Los Petenes","H0005",693.447744254729
"CORR0051",4,"Río Indio Maíz","H0353",131.616580139915
"CORR0052",4,"Río Indio Maíz","H0353",132.665093883114
"CORR0053",4,"Río Indio Maíz","H0354",137.863708742388
"CORR0054",4,"Río Indio Maíz","H0355",153.955751283514
"CORR0055",4,"Río Indio Maíz","H0355",166.194942649054
"CORR0056",13,"Ría Lagartos","H0125",1158.0609856984
"CORR0057",13,"Ría Lagartos","H0142",1154.48113585604
"CORR0058",13,"Ría Lagartos","H0131",1143.87752898989
"CORR0059",7,"Ría Lagartos","H0008",886.037659024061
"CORR0060",13,"Ría Lagartos","H0131",1141.72419220962
"CORR0061",4,"Selva El Ocote","H0007",75.6995252828735
"CORR0062",2,"Selva El Ocote","H0004",87.0055157826461
"CORR0063",3,"Selva El Ocote","H0021",75.8695691758114
"CORR0064",4,"Selva El Ocote","H0012",78.7838309062384
"CORR0065",3,"Selva El Ocote","H0021",77.4071225472825
"CORR0066",3,"Cayos Miskitos y Franja Costera Inmediata","H0347",325.554107661077
"CORR0067",3,"Cayos Miskitos y Franja Costera Inmediata","H0156",359.4480220304
"CORR0068",5,"Cayos Miskitos y Franja Costera Inmediata","H0241",337.929895431864
"CORR0069",5,"Cayos Miskitos y Franja Costera Inmediata","H0242",341.81573182811
"CORR0070",5,"Cayos Miskitos y Franja Costera Inmediata","H0262",357.117020755137
"CORR0071",3,"Río Dulce","H0216",119.890868487189
"CORR0072",3,"Río Dulce","H0216",121.886054544636
"CORR0073",3,"Río Dulce","H0176",107.793008361987
"CORR0074",3,"Río Dulce","H0135",103.210176911507
"CORR0075",3,"Río Dulce","H0220",130.021139196211
"CORR0076",5,"Tikal","H0124",370.54363360427
"CORR0077",5,"Tikal","H0145",334.01515490574
"CORR0078",5,"Tikal","H0134",381.589169685242
"CORR0079",5,"Tikal","H0176",321.55165089879
"CORR0080",5,"Tikal","H0148",363.603320248592
"CORR0081",1,"Cerro Miramundo","H0215",53.4415657847146
"CORR0082",1,"Cerro Miramundo","H0215",51.727463929579
"CORR0083",1,"Cerro Miramundo","H0220",53.1615975937368
"CORR0084",1,"Cerro Miramundo","H0220",63.2696602408845
"CORR0085",1,"Cerro Miramundo","H0176",60.5763631178709
"CORR0086",2,"Santa Rosa","H0349",50.396287705707
"CORR0087",2,"Santa Rosa","H0350",80.0824841764818
"CORR0088",3,"Santa Rosa","H0351",159.250818992346
"CORR0089",3,"Santa Rosa","H0352",169.800810854321
"CORR0090",4,"Santa Rosa","H0353",207.42445144247
"CORR0091",4,"Altos de Campana","H0373",128.830178201343
"CORR0092",3,"Altos de Campana","H0377",185.766109614926
"CORR0093",3,"Altos de Campana","H0377",186.968963779914
"CORR0094",3,"Altos de Campana","H0372",199.54824293133
"CORR0095",3,"Altos de Campana","H0375",202.184114749142
"CORR0096",0,"Sipacate - Naranjo","H0331",109.396532174778
"CORR0097",0,"Sipacate - Naranjo","H0333",107.035239968551
"CORR0098",1,"Sipacate - Naranjo","H0298",152.321745062483
"CORR0099",1,"Sipacate - Naranjo","H0297",165.296959026614
"CORR0100",1,"Sipacate - Naranjo","H0297",163.529242167307
"CORR0101",2,"Tortuguero","H0355",65.1836346528924
"CORR0102",2,"Tortuguero","H0355",82.4579015754942
"CORR0103",2,"Tortuguero","H0355",84.8571053147449
"CORR0104",6,"Tortuguero","H0357",103.063457091778
"CORR0105",2,"Tortuguero","H0354",113.077761179064
"CORR0106",3,"Cahuita","H0366",53.3408403670974
"CORR0107",4,"Cahuita","H0369",51.2081333703437
"CORR0108",4,"Cahuita","H0360",60.5920665890202
"CORR0109",4,"Cahuita","H0369",55.3972620307752
"CORR0110",3,"Cahuita","H0369",68.0512482369034
"CORR0111",4,"Manuel Antonio","H0369",28.1275510487624
"CORR0112",4,"Manuel Antonio","H0363",42.3906411243488
"CORR0113",4,"Manuel Antonio","H0365",35.3343611469355
"CORR0114",4,"Manuel Antonio","H0369",39.9757339139499
"CORR0115",4,"Manuel Antonio","H0361",54.121279089437
"CORR0116",1,"Rincon de la Vieja","H0349",16.917359654244
"CORR0117",1,"Rincon de la Vieja","H0350",32.4396131886868
"CORR0118",2,"Rincon de la Vieja","H0351",111.456301872458
"CORR0119",2,"Rincon de la Vieja","H0352",122.006293734432
"CORR0120",3,"Rincon de la Vieja","H0353",159.629934322579
"CORR0121",2,"Barra Honda","H0351",106.467220717506
"CORR0122",2,"Barra Honda","H0350",84.021935576898
"CORR0123",2,"Barra Honda","H0352",113.169287716258
"CORR0124",3,"Barra Honda","H0349",133.726616807765
"CORR0125",3,"Barra Honda","H0353",168.791786922508
"CORR0126",2,"Los Katios","H0382",47.4154017896554
"CORR0127",2,"Los Katios","H0386",77.3458869410516
"CORR0128",2,"Los Katios","H0380",66.457385571564
"CORR0129",2,"Los Katios","H0390",186.944523695373
"CORR0130",1,"Los Katios","H0398",177.003810651466
"CORR0131",3,"Las Orquideas","H0510",17.1042230296636
"CORR0132",2,"Las Orquideas","H0510",20.378086318145
"CORR0133",3,"Las Orquideas","H0510",24.8092716365319
"CORR0134",3,"Las Orquideas","H0510",33.6359627629489
"CORR0135",3,"Las Orquideas","H0439",35.3132690963941
"CORR0136",5,"Corcovado","H0369",113.19800036886
"CORR0137",5,"Corcovado","H0367",117.729448837835
"CORR0138",6,"Corcovado","H0369",123.76592772465
"CORR0139",5,"Corcovado","H0368",111.226138384621
"CORR0140",5,"Corcovado","H0369",123.68136804521
"CORR0141",5,"Portobelo","H0373",196.792785668027
"CORR0142",4,"Portobelo","H0377",245.201970185379
"CORR0143",4,"Portobelo","H0377",246.404824350367
"CORR0144",4,"Portobelo","H0372",258.680811237597
"CORR0145",4,"Portobelo","H0375",261.31668305541
"CORR0146",1,"Volcan Tenorio","H0350",30.5202501972869
"CORR0147",2,"Volcan Tenorio","H0351",53.433482915626
"CORR0148",1,"Volcan Tenorio","H0349",61.9297474036204
"CORR0149",2,"Volcan Tenorio","H0352",63.9834747776007
"CORR0150",3,"Volcan Tenorio","H0353",101.607115365746
"CORR0151",5,"Los Corales del Rosario y San Bernardo","H0381",804.61106875475
"CORR0152",3,"Los Corales del Rosario y San Bernardo","H0380",587.496043795425
"CORR0153",5,"Los Corales del Rosario y San Bernardo","H0383",785.670926401791
"CORR0154",3,"Los Corales del Rosario y San Bernardo","H0382",573.034197174302
"CORR0155",3,"Los Corales del Rosario y San Bernardo","H0388",551.756086688328
"CORR0156",1,"Paramillo","H0388",55.2444998873494
"CORR0157",1,"Paramillo","H0389",41.1498754263377
"CORR0158",1,"Paramillo","H0394",42.4393298161579
"CORR0159",1,"Paramillo","H0392",52.3118403960773
"CORR0160",1,"Paramillo","H0425",56.5664772308001
"CORR0161",1,"Braulio Carrillo","H0355",46.7563182684448
"CORR0162",1,"Braulio Carrillo","H0355",53.4491863867748
"CORR0163",1,"Braulio Carrillo","H0354",31.8016217180177
"CORR0164",1,"Braulio Carrillo","H0353",32.3296888906469
"CORR0165",1,"Braulio Carrillo","H0355",58.9196865679376
"CORR0166",3,"Volcán Masaya","H0348",240.015057018945
"CORR0167",2,"Volcán Masaya","H0349",200.838813332481
"CORR0168",1,"Volcán Masaya","H0350",240.059010875664
"CORR0169",5,"Volcán Masaya","H0347",318.926093972731
"CORR0170",3,"Volcán Masaya","H0345",309.395903201356
"CORR0171",4,"El Rosario","H0124",202.678542956807
"CORR0172",4,"El Rosario","H0134",204.164059602469
"CORR0173",5,"El Rosario","H0145",243.623157246883
"CORR0174",5,"El Rosario","H0148",224.195553544013
"CORR0175",5,"El Rosario","H0148",224.75121735791
"CORR0176",1,"Cañón del Sumidero","H0015",44.473543417961
"CORR0177",1,"Cañón del Sumidero","H0019",46.4308179423842
"CORR0178",2,"Cañón del Sumidero","H0014",46.8716311458783
"CORR0179",1,"Cañón del Sumidero","H0017",51.2449288920334
"CORR0180",2,"Cañón del Sumidero","H0022",54.3541368669694
"CORR0181",1,"Darién","H0386",47.8660676178748
"CORR0182",1,"Darién","H0380",44.085229207306
"CORR0183",1,"Darién","H0382",25.9531222179552
"CORR0184",3,"Darién","H0390",211.41751784706
"CORR0185",2,"Darién","H0398",201.173512538967
"CORR0186",5,"Soberanía","H0373",186.330510042216
"CORR0187",4,"Soberanía","H0377",234.739694559568
"CORR0188",4,"Soberanía","H0377",235.942548724556
"CORR0189",4,"Soberanía","H0372",248.218535611786
"CORR0190",4,"Soberanía","H0375",250.854407429598
"CORR0191",1,"Palenque","H0008",66.1709127898599
"CORR0192",2,"Palenque","H0005",83.0113333667232
"CORR0193",2,"Palenque","H0010",73.2352756363626
"CORR0194",2,"Palenque","H0011",75.6122713137382
"CORR0195",2,"Palenque","H0013",77.1276166233345
"CORR0196",3,"Internacional La Amistad","H0360",49.9803768537838
"CORR0197",3,"Internacional La Amistad","H0369",21.4097805788616
"CORR0198",2,"Internacional La Amistad","H0366",17.2298507988523
"CORR0199",3,"Internacional La Amistad","H0369",18.3005726039257
"CORR0200",3,"Internacional La Amistad","H0369",56.6407220184835
"CORR0201",4,"Barbilla","H0357",18.6092534475046
"CORR0202",4,"Barbilla","H0359",31.1360336060811
"CORR0203",4,"Barbilla","H0360",28.6529239316952
"CORR0204",4,"Barbilla","H0369",32.4618212505614
"CORR0205",3,"Barbilla","H0355",44.4015306529438
"CORR0206",6,"Chagres","H0373",202.853050895081
"CORR0207",5,"Chagres","H0377",251.262235412432
"CORR0208",5,"Chagres","H0377",252.465089577421
"CORR0209",5,"Chagres","H0372",264.74107646465
"CORR0210",5,"Chagres","H0375",267.376948282462
"CORR0211",4,"Cerro Hoya","H0373",242.807039014186
"CORR0212",3,"Cerro Hoya","H0377",213.372098081786
"CORR0213",3,"Cerro Hoya","H0377",214.843027267634
"CORR0214",3,"Cerro Hoya","H0375",223.09184651828
"CORR0215",3,"Cerro Hoya","H0372",227.392015488086
"CORR0216",3,"Sarigua","H0373",143.630534329981
"CORR0217",3,"Sarigua","H0377",194.709691897139
"CORR0218",3,"Sarigua","H0377",195.912546062128
"CORR0219",3,"Sarigua","H0372",210.254153493458
"CORR0220",3,"Sarigua","H0375",211.810104625774
"CORR0221",2,"General de División Omar Torrijos Herrera","H0373",40.9316051086206
"CORR0222",3,"General de División Omar Torrijos Herrera","H0377",94.1338085250769
"CORR0223",3,"General de División Omar Torrijos Herrera","H0377",95.3366626900651
"CORR0224",3,"General de División Omar Torrijos Herrera","H0372",109.602447055348
"CORR0225",3,"General de División Omar Torrijos Herrera","H0375",111.158398187664
"CORR0226",4,"Dzibilchantún","H0008",788.380389262985
"CORR0227",4,"Dzibilchantún","H0013",786.787642608979
"CORR0228",4,"Dzibilchantún","H0010",792.804607723617
"CORR0229",4,"Dzibilchantún","H0011",797.454063359719
"CORR0230",5,"Dzibilchantún","H0005",835.475679305974
"CORR0231",1,"Azul Meámbar","H0268",10.7774610601143
"CORR0232",1,"Azul Meámbar","H0268",13.1636556179123
"CORR0233",2,"Azul Meámbar","H0254",44.1740614548039
"CORR0234",2,"Azul Meámbar","H0308",56.1976767923232
"CORR0235",1,"Azul Meámbar","H0211",50.0734816693422
"CORR0236",1,"Pico Bonito","H0125",24.9766212397735
"CORR0237",1,"Pico Bonito","H0131",9.32223534541566
"CORR0238",1,"Pico Bonito","H0131",10.8911956591841
"CORR0239",1,"Pico Bonito","H0142",21.3967713974096
"CORR0240",1,"Pico Bonito","H0142",27.63470111946
"CORR0241",1,"Cerro Azul","H0216",6.20921706944996
"CORR0242",1,"Cerro Azul","H0216",8.36524813941212
"CORR0243",1,"Cerro Azul","H0279",65.0270622084362
"CORR0244",2,"Cerro Azul","H0176",70.2516954306143
"CORR0245",1,"Cerro Azul","H0273",80.8081918833159
"CORR0246",1,"Cusuco","H0135",10.7238460559427
"CORR0247",2,"Cusuco","H0254",98.8027779333587
"CORR0248",4,"Cusuco","H0216",107.150744323259
"CORR0249",4,"Cusuco","H0216",109.145930380705
"CORR0250",1,"Cusuco","H0211",124.184532866269
"CORR0251",1,"Texiguat","H0149",7.64873931300009
"CORR0252",1,"Texiguat","H0155",13.0759393817472
"CORR0253",1,"Texiguat","H0155",11.7501517372667
"CORR0254",2,"Texiguat","H0131",55.8836073693518
"CORR0255",2,"Texiguat","H0131",58.0369441496177
"CORR0256",1,"Utria","H0510",154.515225398442
"CORR0257",1,"Utria","H0510",152.543825681233
"CORR0258",4,"Utria","H0510",149.463984103201
"CORR0259",1,"Utria","H0510",161.294693741604
"CORR0260",1,"Utria","H0510",163.569385723
"CORR0261",1,"La Amistad","H0366",18.8524261167924
"CORR0262",1,"La Amistad","H0369",33.5628339865987
"CORR0263",2,"La Amistad","H0369",80.0483829444875
"CORR0264",1,"La Amistad","H0369",62.6998712342031
"CORR0265",4,"La Amistad","H0369",27.4083479326539
"CORR0266",5,"Cerro Cahuí","H0124",295.616464174652
"CORR0267",5,"Cerro Cahuí","H0145",266.562408328126
"CORR0268",5,"Cerro Cahuí","H0134",297.101980820315
"CORR0269",5,"Cerro Cahuí","H0176",335.832022723886
"CORR0270",5,"Cerro Cahuí","H0148",296.30221980307
"CORR0271",3,"Sierra del Lacandón","H0013",141.997644120285
"CORR0272",2,"Sierra del Lacandón","H0033",130.528114318299
"CORR0273",3,"Sierra del Lacandón","H0010",148.014609234922
"CORR0274",3,"Sierra del Lacandón","H0008",154.537433460314
"CORR0275",3,"Sierra del Lacandón","H0011",152.664064871027
"CORR0276",2,"Laguna del Tigre","H0033",230.80832602824
"CORR0277",2,"Laguna del Tigre","H0048",214.50674978279
"CORR0278",3,"Laguna del Tigre","H0013",247.629232832927
"CORR0279",2,"Laguna del Tigre","H0052",216.390895530863
"CORR0280",3,"Laguna del Tigre","H0010",253.646197947565
"CORR0281",2,"Laguna del Tigre -Río Escondido-","H0033",175.267038467426
"CORR0282",2,"Laguna del Tigre -Río Escondido-","H0048",159.041285288021
"CORR0283",3,"Laguna del Tigre -Río Escondido-","H0013",192.08794527211
"CORR0284",2,"Laguna del Tigre -Río Escondido-","H0052",161.001254102141
"CORR0285",3,"Laguna del Tigre -Río Escondido-","H0010",198.104910386748
"CORR0286",2,"Mirador - Río Azul","H0048",399.150100866817
"CORR0287",2,"Mirador - Río Azul","H0052",401.034246614891
"CORR0288",2,"Mirador - Río Azul","H0033",415.603323244358
"CORR0289",3,"Mirador - Río Azul","H0013",432.196760850904
"CORR0290",3,"Mirador - Río Azul","H0010",438.21372596554
"CORR0291",2,"Naachtún - Dos Lagunas","H0048",363.288788558591
"CORR0292",2,"Naachtún - Dos Lagunas","H0052",365.248757372711
"CORR0293",2,"Naachtún - Dos Lagunas","H0033",379.742010936131
"CORR0294",3,"Naachtún - Dos Lagunas","H0013",396.411271608724
"CORR0295",3,"Naachtún - Dos Lagunas","H0010",402.42823672336
"CORR0296",3,"Chocón Machacas","H0216",116.44315100474
"CORR0297",3,"Chocón Machacas","H0216",118.438337062187
"CORR0298",3,"Chocón Machacas","H0176",108.295057171712
"CORR0299",3,"Chocón Machacas","H0135",99.7624594290575
"CORR0300",3,"Chocón Machacas","H0220",130.523188005936
"CORR0301",5,"San Miguel La Palotada - El Zotz","H0124",333.688076301322
"CORR0302",5,"San Miguel La Palotada - El Zotz","H0145",297.159597602792
"CORR0303",5,"San Miguel La Palotada - El Zotz","H0134",344.733612382294
"CORR0304",4,"San Miguel La Palotada - El Zotz","H0083",318.420888606284
"CORR0305",5,"San Miguel La Palotada - El Zotz","H0148",326.823586011691
"CORR0306",1,"Lancetilla","H0149",60.6245895426509
"CORR0307",1,"Lancetilla","H0155",40.8373842817292
"CORR0308",1,"Lancetilla","H0155",40.5693092608701
"CORR0309",2,"Lancetilla","H0131",82.4042865713229
"CORR0310",2,"Lancetilla","H0131",84.5576233515883
"CORR0311",2,"Marino las Baulas de Guanacaste","H0349",97.8549896077771
"CORR0312",2,"Marino las Baulas de Guanacaste","H0350",127.398738826882
"CORR0313",3,"Marino las Baulas de Guanacaste","H0351",177.989510510069
"CORR0314",3,"Marino las Baulas de Guanacaste","H0352",184.691577508822
"CORR0315",4,"Marino las Baulas de Guanacaste","H0353",240.314076715074
"CORR0316",5,"Piedras Blancas","H0369",64.5613466533716
"CORR0317",5,"Piedras Blancas","H0369",67.411678487871
"CORR0318",5,"Piedras Blancas","H0369",64.9377676939075
"CORR0319",6,"Piedras Blancas","H0369",71.4529713172396
"CORR0320",5,"Piedras Blancas","H0369",77.859828920895
"CORR0321",2,"Guanacaste","H0349",30.6718963293794
"CORR0322",2,"Guanacaste","H0350",60.3580928001545
"CORR0323",3,"Guanacaste","H0351",139.298958417878
"CORR0324",3,"Guanacaste","H0352",149.848950279854
"CORR0325",4,"Guanacaste","H0353",187.396767801955
"CORR0326",4,"Chiquibul","H0176",217.263323057424
"CORR0327",5,"Chiquibul","H0135",231.635221419719
"CORR0328",4,"Chiquibul","H0220",239.49145389165
"CORR0329",5,"Chiquibul","H0216",248.315912995401
"CORR0330",4,"Chiquibul","H0145",229.651003998332
"CORR0331",6,"Camino de Cruces","H0373",203.649193088569
"CORR0332",5,"Camino de Cruces","H0377",252.058377605921
"CORR0333",5,"Camino de Cruces","H0377",253.261231770909
"CORR0334",5,"Camino de Cruces","H0372",265.537218658139
"CORR0335",5,"Camino de Cruces","H0375",268.173090475951
"CORR0336",5,"Nacional Cariari","H0360",81.8578216378483
"CORR0337",6,"Nacional Cariari","H0357",80.4481280582317
"CORR0338",6,"Nacional Cariari","H0359",91.510483621687
"CORR0339",2,"Nacional Cariari","H0355",54.927736174681
"CORR0340",5,"Nacional Cariari","H0369",103.782660207886
"CORR0341",2,"Blanca Jeannette Kawas (Punta Sal)","H0149",73.8564476245504
"CORR0342",2,"Blanca Jeannette Kawas (Punta Sal)","H0155",84.4443510195484
"CORR0343",2,"Blanca Jeannette Kawas (Punta Sal)","H0155",85.9976078621678
"CORR0344",2,"Blanca Jeannette Kawas (Punta Sal)","H0135",82.2093403268122
"CORR0345",3,"Blanca Jeannette Kawas (Punta Sal)","H0131",128.501983585586
"CORR0346",2,"Palustrino Corral de piedra","H0350",92.0524845098287
"CORR0347",2,"Palustrino Corral de piedra","H0351",85.3634266925281
"CORR0348",2,"Palustrino Corral de piedra","H0349",99.6805940393175
"CORR0349",2,"Palustrino Corral de piedra","H0352",92.0654936912802
"CORR0350",3,"Palustrino Corral de piedra","H0353",147.687992897529
"CORR0351",6,"Terraba-Sierpe","H0369",68.2787174350432
"CORR0352",5,"Terraba-Sierpe","H0367",65.7186686832773
"CORR0353",5,"Terraba-Sierpe","H0369",79.9319540557218
"CORR0354",5,"Terraba-Sierpe","H0369",76.5129492258738
"CORR0355",5,"Terraba-Sierpe","H0369",80.8824366709991
"CORR0356",2,"Humedal lacustrino Rio Canas","H0349",89.2871746217974
"CORR0357",2,"Humedal lacustrino Rio Canas","H0350",118.906746906949
"CORR0358",2,"Humedal lacustrino Rio Canas","H0351",137.884800792929
"CORR0359",2,"Humedal lacustrino Rio Canas","H0352",144.586867791682
"CORR0360",3,"Humedal lacustrino Rio Canas","H0353",200.361013130027
"CORR0361",6,"Monkey Bay","H0135",306.292737550119
"CORR0362",8,"Monkey Bay","H0149",460.006432175666
"CORR0363",8,"Monkey Bay","H0155",470.594335570663
"CORR0364",8,"Monkey Bay","H0155",472.147592413283
"CORR0365",6,"Monkey Bay","H0216",322.9734291258
"CORR0366",4,"Temash-Sarstoon","H0176",108.846448417549
"CORR0367",4,"Temash-Sarstoon","H0135",118.575395734463
"CORR0368",4,"Temash-Sarstoon","H0216",135.256087310146
"CORR0369",4,"Temash-Sarstoon","H0216",137.251273367593
"CORR0370",4,"Temash-Sarstoon","H0220",131.074579251773
"CORR0371",6,"Aguas Turbias","H0135",399.388347223743
"CORR0372",5,"Aguas Turbias","H0176",385.395564191685
"CORR0373",5,"Aguas Turbias","H0145",397.783245132589
"CORR0374",5,"Aguas Turbias","H0124",434.31172383112
"CORR0375",5,"Aguas Turbias","H0220",407.623695025907
"CORR0376",5,"Paynes Creek","H0135",203.959452210507
"CORR0377",5,"Paynes Creek","H0216",220.640143786191
"CORR0378",5,"Paynes Creek","H0216",222.635329843638
"CORR0379",5,"Paynes Creek","H0176",197.372235822158
"CORR0380",7,"Paynes Creek","H0149",357.673146836062
"CORR0381",5,"Five Blues Lake","H0135",284.873758090837
"CORR0382",4,"Five Blues Lake","H0176",271.411736521101
"CORR0383",5,"Five Blues Lake","H0216",301.554449666517
"CORR0384",7,"Five Blues Lake","H0149",438.587452716382
"CORR0385",5,"Five Blues Lake","H0216",303.549635723963
"CORR0386",4,"Ceibal","H0124",211.776003393779
"CORR0387",4,"Ceibal","H0134",213.261520039442
"CORR0388",4,"Ceibal","H0145",168.854600807103
"CORR0389",5,"Ceibal","H0148",233.293013980987
"CORR0390",5,"Ceibal","H0148",233.848677794883
"CORR0391",4,"Aguateca","H0124",196.876037858858
"CORR0392",4,"Aguateca","H0134",198.36155450452
"CORR0393",4,"Aguateca","H0145",148.897351653243
"CORR0394",4,"Aguateca","H0122",193.406112314535
"CORR0395",4,"Aguateca","H0141",209.7509886724
"CORR0396",4,"Dos Pilas","H0124",179.494540927911
"CORR0397",4,"Dos Pilas","H0134",180.980057573574
"CORR0398",4,"Dos Pilas","H0122",176.024615383587
"CORR0399",2,"Dos Pilas","H0111",167.697278777197
"CORR0400",2,"Dos Pilas","H0100",156.285636547444
"CORR0401",3,"San Román","H0124",175.432156048
"CORR0402",3,"San Román","H0134",186.477692128974
"CORR0403",3,"San Román","H0145",138.903677349468
"CORR0404",4,"San Román","H0122",224.334190494654
"CORR0405",3,"San Román","H0141",188.019055801476
"CORR0406",2,"Laguna Lachuá","H0122",55.5385932711129
"CORR0407",1,"Laguna Lachuá","H0111",56.1608812706328
"CORR0408",1,"Laguna Lachuá","H0111",54.9017178117762
"CORR0409",2,"Laguna Lachuá","H0111",54.1787043946385
"CORR0410",2,"Laguna Lachuá","H0134",60.4940354610987
"CORR0411",3,"Carara","H0361",56.5166725276582
"CORR0412",2,"Carara","H0356",59.6990092789443
"CORR0413",3,"Carara","H0363",58.953787799931
"CORR0414",2,"Carara","H0352",75.4985367146684
"CORR0415",2,"Carara","H0353",69.6814441569031
"CORR0416",1,"Punta Izopo","H0149",45.1770430629212
"CORR0417",1,"Punta Izopo","H0155",47.6845928218482
"CORR0418",1,"Punta Izopo","H0155",47.9526678427071
"CORR0419",1,"Punta Izopo","H0131",73.5136655489777
"CORR0420",1,"Punta Izopo","H0131",74.8551566646067
"CORR0421",2,"Estero Puntarenas y Manglares Asociados","H0352",44.6684896624699
"CORR0422",2,"Estero Puntarenas y Manglares Asociados","H0351",49.249742834587
"CORR0423",3,"Estero Puntarenas y Manglares Asociados","H0353",93.8228956588317
"CORR0424",3,"Estero Puntarenas y Manglares Asociados","H0353",106.402174810247
"CORR0425",2,"Estero Puntarenas y Manglares Asociados","H0356",105.055295115225
"CORR0426",2,"Cerro Saslaya","H0347",109.787732152406
"CORR0427",2,"Cerro Saslaya","H0348",176.514771023192
"CORR0428",3,"Cerro Saslaya","H0345",207.600999926132
"CORR0429",4,"Cerro Saslaya","H0241",194.382613292716
"CORR0430",4,"Cerro Saslaya","H0242",198.268449688963
"CORR0431",5,"Billy Barquedier","H0135",270.514868909997
"CORR0432",7,"Billy Barquedier","H0149",424.228563535543
"CORR0433",7,"Billy Barquedier","H0155",434.81646693054
"CORR0434",7,"Billy Barquedier","H0155",436.36972377316
"CORR0435",5,"Billy Barquedier","H0216",287.195560485676
"CORR0436",5,"Nojkaaxmeen Eligio Panti","H0135",272.421684986972
"CORR0437",4,"Nojkaaxmeen Eligio Panti","H0176",253.121287331659
"CORR0438",5,"Nojkaaxmeen Eligio Panti","H0216",289.102376562654
"CORR0439",4,"Nojkaaxmeen Eligio Panti","H0220",275.349418165883
"CORR0440",5,"Nojkaaxmeen Eligio Panti","H0216",291.097562620101
"CORR0441",5,"Mayflower Bocawina","H0135",258.200970489745
"CORR0442",7,"Mayflower Bocawina","H0149",411.914665115292
"CORR0443",7,"Mayflower Bocawina","H0155",422.502568510289
"CORR0444",7,"Mayflower Bocawina","H0155",424.055825352909
"CORR0445",5,"Mayflower Bocawina","H0216",274.881662065425
"CORR0446",1,"Santa Fe","H0377",42.3175123479991
"CORR0447",1,"Santa Fe","H0373",15.1247404433655
"CORR0448",1,"Santa Fe","H0377",43.5203665129872
"CORR0449",1,"Santa Fe","H0372",57.8619739443164
"CORR0450",1,"Santa Fe","H0375",59.4179250766326
"CORR0451",3,"La Cangreja","H0361",30.9020598172158
"CORR0452",3,"La Cangreja","H0363",33.2633520234424
"CORR0453",2,"La Cangreja","H0356",37.0116674803811
