"CONS_OB","DESIG","DESIG_E","DESIG_T","GIS_ARE","GIS_M_A","GOV_TYP","INT_CRI","ISO3","IUCN_CA","MANG_AU","MANG_PL","MARINE","METADAT","NAME","NO_TAKE","NO_TK_A","ORIG_NA","OWN_TYP","PARENT_","PA_DEF","REP_ARE","REP_M_A","STATUS","STATUS_","SUB_LOC","SUPP_IN","VERIF","WDPAID","WDPA_PI","GEOMETR","AREA_KM","FID","SRTM90_","LOW_ARE","startnode_ID","mean_m","min_m","max_m","range_m","calculatedarea_km2"
"Not Applicable","Reserva de la Biósfera","Biosphere Reserve","National",2834.4896486,1791.8183157,"Federal or national ministry or agency","Not Applicable","MEX","Ia","National Commission of Natural Protected Areas","http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/petenes_final.pdf","partial",1850,"Los Petenes","Not Reported",NA,"Los Petenes","State","MEX","PA",2828.5762706,0,"Designated",1999,"MX-CAM","Not Applicable","State Verified",306816,"306816","POLYGON",2824.787968,0,500,983.577348179948,11,3.48691351170034,-9,43,52,980.751206703546
"Not Applicable","Reserva Biologica","Biological Reserve","National",3174.0464799,1.0315317,"Federal or national ministry or agency","Not Applicable","NIC","Ia","Ministerio del Ambiente y Los Recursos Naturales (MARENA)","Not Reported","terrestrial",820,"Rio Indio Maiz","Not Applicable",NA,"Río Indio Maíz","Not Reported","NIC","PA",3167.2062,0,"Designated",1999,"NI-SJ-CS","Not Applicable","State Verified",30628,"30628","POLYGON",3161.269263,0,500,3151.13762382654,12,115.959376704607,-1,527.049499511719,528.049499511719,3138.59884707898
"Not Applicable","Reserva de la Biósfera","Biosphere Reserve","National",605.5360382,9.9595945,"Federal or national ministry or agency","Not Applicable","MEX","Ia","National Commission of Natural Protected Areas","http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/ria_lagartos.pdf","terrestrial",1850,"Ria Lagartos","Not Applicable",NA,"Ría Lagartos","State","MEX","PA",603.478271,0,"Designated",1999,"MX-YUC","Not Applicable","State Verified",71022,"71022","POLYGON",603.973442,0,500,446.970617765095,13,5.79885859781943,-5,17,22,445.773666163549
"Not Applicable","Reserva de la Biósfera","Biosphere Reserve","National",1017.0335968,0,"Federal or national ministry or agency","Not Applicable","MEX","Ia","National Commission of Natural Protected Areas","http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/ocote.pdf","terrestrial",1850,"Selva El Ocote","Not Applicable",NA,"Selva El Ocote","State","MEX","PA",1012.8815125,0,"Designated",2000,"MX-CHP","Not Applicable","State Verified",306844,"306844","POLYGON",1013.2463155,0,500,191.363416941695,14,407.145279824303,180,597.296875,417.296875,190.727110115948
"Not Applicable","Reserva de la Biósfera","Biosphere Reserve","National",5299.401603,1539.2501697,"Federal or national ministry or agency","Not Applicable","MEX","Ia","National Commission of Natural Protected Areas","http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/sian_kaan.pdf","partial",1850,"Sian Ka an","Not Reported",NA,"Sian Ka'an","State","MEX","PA",5281.47668,0,"Designated",2000,"MX-ROO","Not Applicable","State Verified",1850,"1850","POLYGON",5283.3076375,0,500,3619.43416105205,15,4.64536343329631,-10,22,32,3608.6450015315
"Not Applicable","Sitio Ramsar, Humedal de Importancia Internacional","Ramsar Site, Wetland of International Importance","International",8947.2423532,5108.115216,"Federal or national ministry or agency","(i)(ii)(iii)(iv)(vii)(viii)","NIC","Ia","Ministerio del Ambiente y Los Recursos Naturales (MARENA)","Not Reported","partial",820,"Cayos Miskitos y Franja Costera Inmediata","Not Reported",NA,"Cayos Miskitos y Franja Costera Inmediata","Not Reported","NIC","PA",8968.159883,5026.5314912,"Designated",2001,"NI-CN","Not Applicable","State Verified",900699,"900699","POLYGON",380.421256747459,0,500,381.397534635298,16,8.67897605370247,-1,23,24,379.968247261541
"Not Applicable","Reserva de la Biósfera","Biosphere Reserve","National",58149.1952369,57814.157521,"Federal or national ministry or agency","Not Applicable","MEX","Ia","National Commission of Natural Protected Areas","Not Reported","marine",1850,"Caribe Mexicano","Not Reported",NA,"Caribe Mexicano","State","MEX","PA",57540.5536316,19228.8602,"Designated",2016,"MX-ROO","Not Applicable","State Verified",555624306,"555624306","POLYGON",57581.708615068,0,500,303.552541897115,17,5.20039617782602,-3,17,20,302.7341387269
"Not Applicable","Parque Nacional","National Park","National",166.4198694,0.1743853,"Federal or national ministry or agency","Not Applicable","GTM","II","CONAP","Not Reported","terrestrial",814,"Rio Dulce","Not Applicable",NA,"Río Dulce","State","GTM","PA",166.7941639,0,"Designated",1955,"GT-IZ","Not Applicable","State Verified",107132,"107132","POLYGON",165.817739,0,500,166.379993288021,18,18.8928951418235,1,258,257,165.799238856241
"Not Applicable","Parque Nacional","National Park","National",577.2515896,0,"Collaborative governance","Not Applicable","GTM","II","IDAEH","Not Reported","terrestrial",814,"Tikal","Not Applicable",NA,"Tikal","State","GTM","PA",580.5884121,0,"Designated",1955,"GT-PE","Not Applicable","State Verified",193,"193","POLYGON",575.329566,0,500,577.235208514301,19,269.216923865438,182,415,233,575.329581177593
"Not Applicable","Parque Nacional","National Park","National",8.983454,0,"Federal or national ministry or agency","Not Applicable","GTM","II","CONAP","Not Reported","terrestrial",814,"Cerro Miramundo","Not Applicable",NA,"Cerro Miramundo","State","GTM","PA",9.0035925,0,"Designated",1956,"GT-ZA","Not Applicable","State Verified",107023,"107023","POLYGON",8.9486205,0,500,7.12982714688421,20,379.485365262872,235,497,262,7.10426781627356
"Not Applicable","Parque Nacional","National Park","National",821.2367165,424.3626346,"Federal or national ministry or agency","Not Applicable","CRI","II","Federal or national ministry or agency","Not Reported","partial",811,"Santa Rosa","Not Reported",NA,"Santa Rosa","State","CRI","PA",425.598999,308.87,"Designated",1966,"CR-G","Not Applicable","State Verified",166,"166","POLYGON",817.706122,0,500,382.243677898367,21,186.74416316534,-1,515.149475097656,516.149475097656,380.715981448625
"Not Applicable","Parque Nacional","National Park","National",49.4362458,0,"Federal or national ministry or agency","Not Applicable","PAN","II","Ministerio de Ambiente","Not Reported","terrestrial",822,"Altos de Campana","Not Applicable",NA,"Altos de Campana","Multiple ownership","PAN","PA",49.2070341,0,"Designated",1966,"Not Reported","Not Applicable","State Verified",241,"241","POLYGON",49.316731,0,500,13.4701799946885,22,399.87975692749,225.653472900391,549.5595703125,323.906097412109,13.4140681646589
"Not Applicable","Parque Nacional","National Park","National",19.1236151,0.1981589,"Federal or national ministry or agency","Not Applicable","GTM","II","CONAP","Not Reported","terrestrial",814,"Sipacate   Naranjo","Not Applicable",NA,"Sipacate - Naranjo","State","GTM","PA",19.1664849,0,"Designated",1969,"GT-ES","Not Applicable","State Verified",12591,"12591","POLYGON",19.1203665,0,500,16.3731778275889,23,11.5944485043858,3,23,20,16.3126237164918
"Not Applicable","Parque Nacional","National Park","National",770.5636352,504.6989621,"Federal or national ministry or agency","Not Applicable","CRI","II","Federal or national ministry or agency","Not Reported","partial",811,"Tortuguero","Not Reported",NA,"Tortuguero","State","CRI","PA",502.7650146,264.5584,"Designated",1970,"CR-L","Not Applicable","State Verified",167,"167","POLYGON",767.173836,0,500,271.614975897109,24,33.4520969500062,4,263,259,270.520110331281
"Not Applicable","Parque Nacional","National Park","National",244.8694221,232.4036743,"Federal or national ministry or agency","Not Applicable","CRI","II","Federal or national ministry or agency","Not Reported","marine",811,"Cahuita","Not Reported",NA,"Cahuita","State","CRI","PA",233.1790009,10.7614,"Designated",1970,"CR-C","Not Applicable","State Verified",2235,"2235","POLYGON",243.9713125,0,500,12.9040709161741,25,14.8948905705951,6.33656978607178,35,28.6634302139282,12.8512766416112
"Not Applicable","Parque Nacional","National Park","National",274.3645121,256.3945107,"Federal or national ministry or agency","Not Applicable","CRI","II","Federal or national ministry or agency","Not Reported","marine",811,"Manuel Antonio","Not Reported",NA,"Manuel Antonio","State","CRI","PA",256.6950073,175.224,"Designated",1972,"CR-P","Not Applicable","State Verified",2250,"2250","POLYGON",273.930457,0,500,14.7880738444833,26,32.6313851289431,0,142.036270141602,142.036270141602,14.7271887479623
"Not Applicable","Parque Nacional","National Park","National",159.3427935,0,"Federal or national ministry or agency","Not Applicable","CRI","II","Federal or national ministry or agency","Not Reported","terrestrial",811,"Rincon de la Vieja","Not Applicable",NA,"Rincon de la Vieja","State","CRI","PA",158.7630005,0,"Designated",1974,"CR-G","Not Applicable","State Verified",168,"168","POLYGON",158.8087065,0,500,6.70419966498671,27,460.10844630309,404,511.765075683594,107.765075683594,6.67731116351756
"Not Applicable","Parque Nacional","National Park","National",23.048919,0,"Federal or national ministry or agency","Not Applicable","CRI","II","Federal or national ministry or agency","Not Reported","terrestrial",811,"Barra Honda","Not Applicable",NA,"Barra Honda","State","CRI","PA",22.9633999,0,"Designated",1974,"CR-G","Not Applicable","State Verified",2214,"2214","POLYGON",22.9940565,0,500,22.930576620839,28,254.20687817412,44.104362487793,496,451.895637512207,22.8376168723008
"Not Applicable","Parque Nacional Natural","National Natural Park","National",782.9849415,0,"Federal or national ministry or agency","Not Applicable","COL","II","Parques Nacionales Naturales de Colombia","http://runap.parquesnacionales.gov.co/","terrestrial",1861,"Los Katios","Not Applicable",NA,"Los Katios","Not Reported","COL","PA",779.682576,0,"Designated",1974,"CO-ANT;CO-CHO","Not Applicable","State Verified",142,"142","POLYGON",779.4581765,0,500,764.770403044542,29,118.452883787992,0,515.203796386719,515.203796386719,761.539445517752
"Not Applicable","Parque Nacional Natural","National Natural Park","National",288.7093701,0,"Federal or national ministry or agency","Not Applicable","COL","II","Parques Nacionales Naturales de Colombia","http://runap.parquesnacionales.gov.co/","terrestrial",1861,"Las Orquideas","Not Applicable",NA,"Las Orquideas","Not Reported","COL","PA",287.5293739,0,"Designated",1974,"CO-ANT","Not Applicable","State Verified",148,"148","POLYGON",287.3307815,0,500,9.76567032328606,30,407.304786732655,279,530.580993652344,251.580993652344,9.72373235011444
"Not Applicable","Parque Nacional","National Park","National",424.0938477,0.0240032,"Federal or national ministry or agency","Not Applicable","CRI","II","Federal or national ministry or agency","Not Reported","terrestrial",811,"Corcovado","Not Applicable",NA,"Corcovado","State","CRI","PA",422.2630005,422.2026,"Designated",1975,"CR-P","Not Applicable","State Verified",164,"164","POLYGON",422.326404,0,500,400.476099305077,31,165.233739838573,3,537.051147460938,534.051147460938,398.80363162928
"Not Applicable","Parque Nacional","National Park","National",359.9468878,83.5093744,"Federal or national ministry or agency","Not Applicable","PAN","II","Ministerio de Ambiente","Not Reported","partial",822,"Portobelo","All",87.8451841,"Portobelo","Multiple ownership","PAN","PA",358.3985115,87.8451841,"Designated",1976,"Not Reported","Not Applicable","State Verified",555705292,"555705292","POLYGON",358.317934,0,500,185.234735687719,32,138.01631813376,3,584.904541015625,581.904541015625,184.474563185667
"Not Applicable","Parque Nacional","National Park","National",129.4982612,0,"Federal or national ministry or agency","Not Applicable","CRI","II","Federal or national ministry or agency","Not Reported","terrestrial",811,"Volcan Tenorio","Not Applicable",NA,"Volcan Tenorio","State","CRI","PA",128.9900055,0,"Designated",1976,"CR-A","Not Applicable","State Verified",102334,"102334","POLYGON",128.7941445,0,500,17.3359717625829,33,389.37429792969,214.844451904297,535.720886230469,320.876434326172,17.2663714889546
"Not Applicable","Parque Nacional Natural","National Natural Park","National",1239.0076958,1219.270714,"Federal or national ministry or agency","Not Applicable","COL","II","Parques Nacionales Naturales de Colombia","http://runap.parquesnacionales.gov.co/","marine",1861,"Los Corales del Rosario y San Bernardo","Not Reported",NA,"Los Corales del Rosario y San Bernardo","Not Reported","COL","PA",1234.5460526,0,"Designated",1977,"CO-BOL","Not Applicable","State Verified",2234,"2234","POLYGON",1235.337538,0,500,9.64697566289998,34,7.408041185412,-1,36,37,9.60785314570219
"Not Applicable","Parque Nacional Natural","National Natural Park","National",5060.1381353,0,"Federal or national ministry or agency","Not Applicable","COL","II","Parques Nacionales Naturales de Colombia","http://runap.parquesnacionales.gov.co/","terrestrial",1861,"Paramillo","Not Applicable",NA,"Paramillo","Not Reported","COL","PA",5040.1388495,0,"Designated",1977,"CO-ANT;CO-COR","Not Applicable","State Verified",131,"131","POLYGON",5038.835249,0,500,1673.16326073957,35,311.490852572825,118,626.052673339844,508.052673339844,1666.0811121314
"Not Applicable","Parque Nacional","National Park","National",501.3460177,0,"Federal or national ministry or agency","Not Applicable","CRI","II","Federal or national ministry or agency","Not Reported","terrestrial",811,"Braulio Carrillo","Not Applicable",NA,"Braulio Carrillo","State","CRI","PA",499.2139893,0,"Designated",1978,"CR-H","Not Applicable","State Verified",165,"165","POLYGON",499.3520985,0,500,52.9303269660547,36,272.795559464881,61,546.135131835938,485.135131835938,52.7164994649292
"Not Applicable","Parque Nacional","National Park","National",54.9368179,0,"Federal or national ministry or agency","Not Applicable","NIC","II","Ministerio del Ambiente y Los Recursos Naturales (MARENA)","Not Reported","terrestrial",820,"Volcan Masaya","Not Applicable",NA,"Volcán Masaya","Not Reported","NIC","PA",54.69079,0,"Designated",1979,"NI-MS","Not Applicable","State Verified",235,"235","POLYGON",54.7514835,0,500,52.078882631643,37,264.687117799888,126,526.990173339844,400.990173339844,51.8760002637126
"Not Applicable","Parque Nacional","National Park","National",11.1708093,0,"Federal or national ministry or agency","Not Applicable","GTM","II","INAB","Not Reported","terrestrial",814,"El Rosario","Not Applicable",NA,"El Rosario","State","GTM","PA",10.8357869,0,"Designated",1980,"GT-PE","Not Applicable","State Verified",2198,"2198","POLYGON",11.2056715,0,500,11.2437967685515,38,145.074474943014,114,174,60,11.2056526704189
"Not Applicable","Parque Nacional","National Park","National",233.943922,0,"Federal or national ministry or agency","Not Applicable","MEX","II","National Commission of Natural Protected Areas","Not Reported","terrestrial",1850,"Canon del Sumidero","Not Applicable",NA,"Cañón del Sumidero","State","MEX","PA",217.89419,0,"Designated",1980,"MX-CHP","Not Applicable","State Verified",2584,"2584","POLYGON",233.0166575,0,500,30.8653967569432,39,432.016202248993,246,860.555908203125,614.555908203125,30.7619989752925
"Not Applicable","Parque Nacional","National Park","National",5699.2870608,14.7406164,"Federal or national ministry or agency","Not Applicable","PAN","II","Ministerio de Ambiente","Not Reported","terrestrial",822,"Darien","Not Applicable",NA,"Darién","Multiple ownership","PAN","PA",5689.5785077,0,"Designated",1980,"Not Reported","Not Applicable","State Verified",236,"236","POLYGON",5673.40979186462,0,500,3119.58158047711,40,262.513005182547,0,644.715393066406,644.715393066406,3106.39879679563
"Not Applicable","Parque Nacional","National Park","National",196.3139984,14.1588385,"Federal or national ministry or agency","Not Applicable","PAN","II","Ministerio de Ambiente","Not Reported","terrestrial",822,"Soberania","Not Applicable",NA,"Soberanía","State","PAN","PA",195.4415829,0,"Designated",1980,"Not Reported","Not Applicable","State Verified",238,"238","POLYGON",196.000934,0,500,196.813387156275,41,112.761056630429,27,299,272,195.999932013971
"Not Applicable","Parque Nacional","National Park","National",17.8686083,0,"Federal or national ministry or agency","Not Applicable","MEX","II","National Commission of Natural Protected Areas","Not Reported","terrestrial",1850,"Palenque","Not Applicable",NA,"Palenque","State","MEX","PA",17.7195012,0,"Designated",1981,"MX-CHP","Not Applicable","State Verified",5405,"5405","POLYGON",17.847654,0,500,17.3589693075586,42,148.18055565029,30,503.370239257812,473.370239257812,17.3022775234021
"Not Applicable","Parque Nacional","National Park","National",1991.1260939,0,"Federal or national ministry or agency","Not Applicable","CRI","II","Federal or national ministry or agency","Not Reported","terrestrial",811,"Internacional La Amistad","Not Applicable",NA,"Internacional La Amistad","State","CRI","PA",1982.9300537,0,"Designated",1982,"CR-L","Not Applicable","State Verified",2553,"2553","POLYGON",1982.532996,0,500,22.4320470555274,43,358.015145181048,136,547.103698730469,411.103698730469,22.3398895239974
"Not Applicable","Parque Nacional","National Park","National",119.6338365,0,"Federal or national ministry or agency","Not Applicable","CRI","II","Federal or national ministry or agency","Not Reported","terrestrial",811,"Barbilla","Not Applicable",NA,"Barbilla","State","CRI","PA",119.1350021,0,"Designated",1982,"CR-C","Not Applicable","State Verified",19372,"19372","POLYGON",119.2373665,0,500,25.3051102674865,44,394.492854875614,148,558.8017578125,410.8017578125,25.2021032225373
"Not Applicable","Parque Nacional","National Park","National",1322.1258305,0,"Federal or national ministry or agency","Not Applicable","PAN","II","Ministerio de Ambiente","Not Reported","terrestrial",822,"Chagres","Not Applicable",NA,"Chagres","Multiple ownership","PAN","PA",1316.5982897,0,"Designated",1984,"Not Reported","Not Applicable","State Verified",12684,"12684","POLYGON",1316.09049809503,0,500,1080.9241164057,45,282.869113972446,26,555.294311523438,529.294311523438,1076.47353177061
"Not Applicable","Parque Nacional","National Park","National",335.0909909,36.0117168,"Federal or national ministry or agency","Not Applicable","PAN","II","Ministerio de Ambiente","Not Reported","partial",822,"Cerro Hoya","Not Reported",NA,"Cerro Hoya","Multiple ownership","PAN","PA",333.3987506,35.7732458,"Designated",1984,"Not Reported","Not Applicable","State Verified",12685,"12685","POLYGON",333.7776125,0,500,91.6549976810713,46,310.177808878304,11,566.89111328125,555.89111328125,91.2647541677435
"Not Applicable","Parque Nacional","National Park","National",46.9300597,13.07583,"Federal or national ministry or agency","Not Applicable","PAN","II","Ministerio de Ambiente","Not Reported","partial",822,"Sarigua","Not Reported",NA,"Sarigua","State","PAN","PA",46.6971461,12.1361498,"Designated",1984,"Not Reported","Not Applicable","State Verified",12686,"12686","POLYGON",46.718894,0,500,34.8425983449868,47,6.3967075824514,2,28,26,34.6959314783455
"Not Applicable","Parque Nacional","National Park","National",260.0609977,0,"Federal or national ministry or agency","Not Applicable","PAN","II","Ministerio de Ambiente","Not Reported","terrestrial",822,"General de Division Omar Torrijos Herrera","Not Applicable",NA,"General de División Omar Torrijos Herrera","Not Reported","PAN","PA",258.7805555,0,"Designated",1986,"Not Reported","Not Applicable","State Verified",99631,"99631","POLYGON",258.721244,0,500,97.9298731688646,48,334.206925379321,102,543.142883300781,441.142883300781,97.5220050021161
"Not Applicable","Parque Nacional","National Park","National",5.4063525,0,"Federal or national ministry or agency","Not Applicable","MEX","II","National Commission of Natural Protected Areas","http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2015/DZILBILCHANTUN.pdf","terrestrial",1850,"Dzibilchantun","Not Applicable",NA,"Dzibilchantún","State","MEX","PA",5.3943927,0,"Designated",1987,"MX-YUC","Not Applicable","State Verified",14290,"14290","POLYGON",5.3856645,0,500,5.40047738933892,49,8.1577574116044,6,10,4,5.38566415900064
"Not Applicable","Parque Nacional","National Park","National",314.706072,0,"Federal or national ministry or agency","Not Applicable","HND","II","ICF","Existing","terrestrial",1927,"Azul Meambar","Not Applicable",NA,"Azul Meámbar","Multiple ownership","HND","PA",31339.088,0,"Designated",1987,"HN-CM","Not Applicable","State Verified",18807,"18807","POLYGON",313.628626,0,500,11.5786662844158,50,462.33291997936,354,551.399963378906,197.399963378906,11.537094432266
"Not Applicable","Parque Nacional","National Park","National",1069.3741624,0,"Federal or national ministry or agency","Not Applicable","HND","II","ICF y FUPNAPIB","Existing","terrestrial",1927,"Pico Bonito","Not Applicable",NA,"Pico Bonito","Multiple ownership","HND","PA",1071.07454,0,"Designated",1987,"HN-AT","Not Applicable","State Verified",18810,"18810","POLYGON",1065.506544,0,500,237.648484989157,51,256.743033598131,10,578.781127929688,568.781127929688,236.816353584935
"Not Applicable","Parque Nacional","National Park","National",121.2073891,0,"Federal or national ministry or agency","Not Applicable","HND","II","ICF","Existing","terrestrial",1927,"Cerro Azul","Not Applicable",NA,"Cerro Azul","Multiple ownership","HND","PA",120.8075208,0,"Designated",1987,"HN-CP","Not Applicable","State Verified",18813,"18813","POLYGON",120.737118,0,500,14.5851159922213,52,359.827653246341,169,559.141479492188,390.141479492188,14.5331265629227
"Not Applicable","Parque Nacional","National Park","National",168.1894746,0,"Federal or national ministry or agency","Not Applicable","HND","II","ICF","Existing","terrestrial",1927,"Cusuco","Not Applicable",NA,"Cusuco","Multiple ownership","HND","PA",196.0688,0,"Designated",1987,"HN-CR","Not Applicable","State Verified",23306,"23306","POLYGON",167.6293585,0,500,16.8229303651682,53,395.899890091904,180.321716308594,645.336791992188,465.015075683594,16.7639185046702
"Not Applicable","Refugio de Vida Silvestre","Wildlife Refuge","National",471.8737793,0,"Federal or national ministry or agency","Not Applicable","HND","II","ICF y PROLANSATE","Existing","terrestrial",1927,"Texiguat","Not Applicable",NA,"Texiguat","Multiple ownership","HND","PA",469.8491,0,"Designated",1987,"HN-AT","Not Applicable","State Verified",18845,"18845","POLYGON",470.1104155,0,500,58.8077418662507,54,359.131985268061,90.505744934082,602.753662109375,512.247917175293,58.601083442747
"Not Applicable","Parque Nacional Natural","National Natural Park","National",645.9712616,141.7834507,"Federal or national ministry or agency","Not Applicable","COL","II","Parques Nacionales Naturales de Colombia","http://runap.parquesnacionales.gov.co/","partial",1861,"Utria","Not Reported",NA,"Utria","Not Reported","COL","PA",643.282772,0,"Designated",1987,"CO-CHO;Not Reported","Not Applicable","State Verified",303549,"303549","POLYGON",643.668195,0,500,385.927395011481,55,259.964199689121,-2,555.724609375,557.724609375,384.258103262251
"Not Applicable","Parque Nacional","National Park","National",2173.5338297,0,"Federal or national ministry or agency","Not Applicable","PAN","II","Ministerio de Ambiente","Not Reported","terrestrial",822,"La Amistad","Not Applicable",NA,"La Amistad","Multiple ownership","PAN","PA",2165.0904556,0,"Designated",1988,"Not Reported","Not Applicable","State Verified",555705286,"555705286","POLYGON",2072.15718963381,0,500,63.6822809408039,56,384.53545990984,122,638.394714355469,516.394714355469,63.4197352684623
"Not Applicable","Biotopo Protegido","Protected Biotope","National",7.3975218,0,"Government-delegated management","Not Applicable","GTM","II","CECON / USAC","Not Reported","terrestrial",814,"Cerro Cahui","Not Applicable",NA,"Cerro Cahuí","State","GTM","PA",7.4141049,0,"Designated",1989,"GT-PE","Not Applicable","State Verified",12593,"12593","POLYGON",7.3742145,0,500,7.39885511162929,57,242.852333248941,114,371,257,7.37421806020319
"Not Applicable","Private Reserve","Private Reserve","National",77.1941957,0.0009325,"Not Reported","Not Applicable","BLZ","II","International Tropical Conservation Foundation","Not Reported","terrestrial",1844,"Shipstern Nature Reserve","Not Applicable",NA,"Shipstern Nature Reserve","Not Reported","BLZ","PA",82.2806847,0,"Designated",1989,"BZ-CZL","Not Applicable","State Verified",20226,"20226","POLYGON",76.917295,0,500,77.1594478838864,58,3.59082015957933,0,18,18,76.9155459993991
